NORAD_CAT_ID,MSG_EPOCH,INSERT_EPOCH,DECAY_EPOCH,WINDOW,REV,DIRECTION,LAT,LON,INCL,NEXT_REPORT,ID,HIGH_INTEREST,OBJECT_NUMBER,query_day_utc,query_date_field,message_type
45757,2025-01-02 04:00:00,2025-01-02 04:18:35,2025-01-04 13:33:00,720,25354,ascending,-48.1,215.1,53.1,48,37497,N,45757,2025-01-02,MSG_EPOCH,tip
47740,2025-01-02 10:43:00,2025-01-02 10:58:37,2025-01-04 20:38:00,720,21277,descending,53.1,352.7,53,48,37500,N,47740,2025-01-02,MSG_EPOCH,tip
52124,2025-01-02 06:27:00,2025-01-02 06:48:33,2025-01-06 02:09:00,1140,15658,descending,4.3,212.9,53.2,72,37499,N,52124,2025-01-02,MSG_EPOCH,tip
54769,2025-01-02 04:52:00,2025-01-02 05:08:33,2025-01-04 04:51:00,600,11540,ascending,52.8,51.5,53.2,24,37498,N,54769,2025-01-02,MSG_EPOCH,tip
56033,2025-01-02 12:13:00,2025-01-02 12:28:36,2025-01-02 17:52:00,240,9857,ascending,31.9,227.1,43,2,37501,N,56033,2025-01-02,MSG_EPOCH,tip
